,mood,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo
3047,fitness,5ma5cqNZGiJonJNYCa96Ci,0.577,0.802,1,-4.857,0,0.0517,0.028,3.66e-06,0.354,126.962
3048,fitness,6BBD4ORMmIXeOND3kFQ1IB,0.776,0.861,2,-3.492,1,0.1,0.0497,3.22e-05,0.914,122.027
3049,fitness,4QLs4TwtXGWtTh1aeyNqwG,0.714,0.88,10,-7.013,0,0.417,0.0793,9.74e-05,0.442,117.937
3050,fitness,32PKQDEaouIIOlNZ5umoR6,0.74,0.709,6,-5.573,0,0.0674,0.0536,0,0.69,121.998
3051,fitness,1bmvJkAA8Yz9bv6y3WOj3U,0.793,0.701,2,-4.764,1,0.0428,0.00544,0,0.62,123.964
3052,fitness,0HSEJscVwXS83GPgWPMaeR,0.758,0.837,10,-2.738,0,0.0628,0.159,0.000166,0.777,122.971
3053,fitness,2REu6wX4KKrG6uGlTKVqu6,0.5,0.701,0,-6.261,0,0.0499,0.0302,8.97e-06,0.159,123.985
3054,fitness,4dZHhJUpHa0D3kSN8iOVvx,0.811,0.761,5,-5.281,0,0.0605,0.0706,2.01e-05,0.74,117.983
3055,fitness,6i7zAdNhzUN2k1HcrBxPHG,0.798,0.828,2,-5.36,1,0.193,0.0247,2.55e-06,0.6,124.962
3056,fitness,19TOAlTFq0NDHvUPQR0tkr,0.845,0.766,2,-5.727,0,0.0658,0.212,0,0.782,114.054
3057,fitness,78oZ26xvmtCfarveRXs3dq,0.779,0.845,7,-3.446,1,0.0356,0.0659,1.16e-06,0.615,111.995
3058,fitness,2AceGjiX9isUbXmMZa0Dl1,0.575,0.844,6,-4.89,0,0.072,0.00172,0,0.277,104.914
3059,fitness,2rUsJXt4NeeDiIU6sBvrxo,0.803,0.796,6,-5.077,0,0.0343,0.0522,2.69e-05,0.549,114.95
3060,fitness,6kPJZM97LwdG9QIsT7khp6,0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.565,105.005
3061,fitness,3Ns7GYmCWy4DLI3e6yRE5d,0.536,0.826,11,-6.014,0,0.176,0.181,0.00509,0.563,124.424
3062,fitness,6s3OlLs8Ey8LCol4xaDb6R,0.763,0.804,4,-3.453,0,0.037,0.0305,1.06e-05,0.655,123.982
3063,fitness,1RSBK5VWdjPjHEmRhAkS4Q,0.659,0.877,11,-5.089,0,0.0288,0.0878,0,0.471,119.992
3064,fitness,0SZPXD0uEl72YjUVY2K3E9,0.658,0.747,8,-6.567,0,0.0971,0.138,0,0.326,120.073
3065,fitness,5wSfQ994SRQb7dA1OHte2e,0.743,0.898,0,-4.8,1,0.0487,0.109,0.000235,0.723,112.035
3066,fitness,2ZEq4HT450Ye9IFGPTl9qV,0.697,0.921,5,-4.283,1,0.0424,0.0946,1.9e-05,0.722,123.988
3067,fitness,3vrm4dNThrhQ0BArrLIUOV,0.712,0.857,1,-4.922,0,0.052,0.0855,9.98e-05,0.207,124.963
3068,fitness,4SkmZvciMZmMinCeEA7g5L,0.606,0.894,6,-7.37,0,0.0376,0.00379,0.0994,0.154,122.983
3069,fitness,3eS1VMcEmq2IUgpaeDysCb,0.686,0.693,0,-6.245,0,0.131,0.329,0,0.699,124.206
3070,fitness,2aZDpay0CohwxTPQtxetAG,0.446,0.784,2,-5.907,0,0.0944,0.076,6.1e-06,0.254,115.996
